Last Date Sold,Latitude,Longitude,Zip,Price,Price Per Sq. Ft.,Footage,Lot Area,Beds,Baths,Address,Listing URL,Short Address,City,State,Raw Property Details,Date Scraped,Broker Name,Status,Type,Raw Rent Details,Lowest Rent,Highest Rent,Rent Zestimate,Zestimate,Tax Assessed Value (Most Recent),Date Price Last Changed,Price Change,Currency,Most Recent Date Listed for Sale,Days on the Market (For Sale),Days on Zillow,MLS Id,Broker Phone,Listed By,Lister Phone,Agent Name,Agent Phone,Agent Email,Co-Agent Name,Co-Agent Phone,Buyer Agent Fee,Association Name,Association Fee,Monthly HOA Fees,Year Built,Stories,Heating,Cooling,Fireplaces,Flooring,Foundation,Garage Capacity,Sewer,Subdivision,Zoning Desc.,Property Condition,Roof Type,Virtual Tour,MLS Source,Parcel Id,Favorite Count,Page Views,Tax Paid (Most Recent),Has Private Pool,Pool Features
06/03/2021,40.284607,-74.606155,8550,1040000,264,3940,46173.6,5,5,"4 Lee Ct, Princeton Junction, NJ 08550",https://www.zillow.com/homedetails/4-Lee-Ct-Princeton-Junction-NJ-08550/39037865_zpid/,,,,5 bds | 5 ba | 3940 sqft,"Sun, 6/2/24",,RECENTLY_SOLD,SINGLE_FAMILY,,,,"$7,137 ",1422100,,,,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/03/2021,40.272766,-74.58425,8550,525000,236,2222,15002.06,2,3,"87 Honeyflower Ln, West Windsor, NJ 08550",https://www.zillow.com/homedetails/87-Honeyflower-Ln-West-Windsor-NJ-08550/52631629_zpid/,,,,2 bds | 3 ba | 2222 sqft,"Sun, 6/2/24",,RECENTLY_SOLD,SINGLE_FAMILY,,,,"$3,814 ",649100,,,,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/04/2021,40.35202,-74.58115,8536,585000,272,2154,14374.8,3,3,"50 Parker Rd, Plainsboro, NJ 08536",https://www.zillow.com/homedetails/50-Parker-Rd-Plainsboro-NJ-08536/39152257_zpid/,,,,3 bds | 3 ba | 2154 sqft,"Sun, 6/2/24",,RECENTLY_SOLD,SINGLE_FAMILY,,,,"$4,431 ",827000,,,,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/04/2021,40.330063,-74.61457,8536,876000,,,33541.2,4,4,"6 Birch Dr, Plainsboro, NJ 08536",https://www.zillow.com/homedetails/6-Birch-Dr-Plainsboro-NJ-08536/55552089_zpid/,,,,4 bds | 4 ba ,"Sun, 6/2/24",,RECENTLY_SOLD,SINGLE_FAMILY,,,,"$6,446 ",1200100,,,,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/04/2021,40.287514,-74.59625,8550,1210000,325,3720,37026,5,4,"4 Cliffview Ct, West Windsor, NJ 08550",https://www.zillow.com/homedetails/4-Cliffview-Ct-West-Windsor-NJ-08550/39037810_zpid/,,,,5 bds | 4 ba | 3720 sqft,"Sun, 6/2/24",,RECENTLY_SOLD,SINGLE_FAMILY,,,,"$7,687 ",1527900,,,,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/04/2021,40.279842,-74.59174,8550,755000,271,2788,43995.6,6,3,"20 Fairway Dr, West Windsor, NJ 08550",https://www.zillow.com/homedetails/20-Fairway-Dr-West-Windsor-NJ-08550/39038154_zpid/,,,,6 bds | 3 ba | 2788 sqft,"Sun, 6/2/24",,RECENTLY_SOLD,SINGLE_FAMILY,,,,"$5,315 ",1058300,,,,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/04/2021,40.27725,-74.60968,8550,996000,242,4113,21928.1,5,5,"42 Brookfield Way, West Windsor, NJ 08550",https://www.zillow.com/homedetails/42-Brookfield-Way-West-Windsor-NJ-08550/39038328_zpid/,,,,5 bds | 5 ba | 4113 sqft,"Sun, 6/2/24",,RECENTLY_SOLD,SINGLE_FAMILY,,,,"$7,149 ",1434800,,,,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/04/2021,40.26723,-74.581924,8550,465000,266,1747,10890,3,2,"318 Oak Ln, West Windsor, NJ 08550",https://www.zillow.com/homedetails/318-Oak-Ln-West-Windsor-NJ-08550/39039677_zpid/,,,,3 bds | 2 ba | 1747 sqft,"Sun, 6/2/24",RE/MAX Instyle Realty Corp,RECENTLY_SOLD,SINGLE_FAMILY,,,,"$3,599 ",687200,,,,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/04/2021,40.281464,-74.576866,8550,565000,178,3182,36590.4,3,3,"38 Murano Dr, West Windsor, NJ 08550",https://www.zillow.com/homedetails/38-Murano-Dr-West-Windsor-NJ-08550/92208318_zpid/,,,,3 bds | 3 ba | 3182 sqft,"Sun, 6/2/24",,RECENTLY_SOLD,SINGLE_FAMILY,,,,"$4,550 ",821900,,,,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/07/2021,40.53212,-74.35914,8840,355000,335,1060,37418.04,3,2,"131 Main St, Metuchen, NJ 08840",https://www.zillow.com/homedetails/131-Main-St-Metuchen-NJ-08840/64492823_zpid/,,,,3 bds | 2 ba | 1060 sqft,"Sun, 6/2/24",,RECENTLY_SOLD,SINGLE_FAMILY,,,,"$3,200 ",512600,,,,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
